state,district,month,age_0_5,age_5_17,age_18_plus,total
Maharashtra,Aurangabad,2025-04,0,5863,13126,18989
Maharashtra,Aurangabad,2025-05,0,13127,32316,45443
Maharashtra,Aurangabad,2025-06,0,8613,20740,29353
Maharashtra,Aurangabad,2025-07,0,14713,25228,39941
Maharashtra,Aurangabad,2025-08,0,9265,17015,26280
Maharashtra,Aurangabad,2025-09,0,20548,21479,42027
Maharashtra,Aurangabad,2025-10,0,9095,30611,39706
Maharashtra,Aurangabad,2025-11,0,16341,37073,53414
Maharashtra,Aurangabad,2025-12,0,9689,14940,24629
Maharashtra,Aurangabad,2026-01,0,1690,2564,4254
Maharashtra,Beed,2025-03,0,8506,16200,24706
Maharashtra,Beed,2025-04,0,3067,7186,10253
Maharashtra,Beed,2025-05,0,11522,25292,36814
Maharashtra,Beed,2025-06,0,11451,20303,31754
Maharashtra,Beed,2025-07,0,11697,17887,29584
Maharashtra,Beed,2025-08,0,7212,11782,18994
Maharashtra,Beed,2025-09,0,38923,15213,54136
Maharashtra,Beed,2025-10,0,12291,21009,33300
Maharashtra,Beed,2025-11,0,18382,19297,37679
Maharashtra,Beed,2025-12,0,9951,10361,20312
Maharashtra,Beed,2026-01,0,1070,1333,2403
Maharashtra,Bhandara,2025-03,0,1662,5048,6710
Maharashtra,Bhandara,2025-04,0,1808,4920,6728
Maharashtra,Bhandara,2025-05,0,2406,8109,10515
Maharashtra,Bhandara,2025-06,0,3578,10327,13905
Maharashtra,Bhandara,2025-07,0,2401,5669,8070
Maharashtra,Bhandara,2025-08,0,1660,3868,5528
Maharashtra,Bhandara,2025-09,0,7728,6354,14082
Maharashtra,Bhandara,2025-10,0,3649,14469,18118
Maharashtra,Bhandara,2025-11,0,5397,11962,17359
Maharashtra,Bhandara,2025-12,0,2814,5486,8300
Maharashtra,Bhandara,2026-01,0,340,670,1010
Maharashtra,Bid,2025-05,0,70,1908,1978
Maharashtra,Bid,2025-06,0,66,2855,2921
Maharashtra,Bid,2025-07,0,52,2414,2466
Maharashtra,Bid,2025-08,0,52,1456,1508
Maharashtra,Bid,2025-09,0,230,1561,1791
Maharashtra,Bid,2025-10,0,84,3093,3177
Maharashtra,Bid,2025-11,0,67,2442,2509
Maharashtra,Bid,2025-12,0,43,1215,1258
Maharashtra,Bid,2026-01,0,8,217,225
Maharashtra,Buldana,2025-03,0,129,3081,3210
Maharashtra,Buldana,2025-04,0,72,876,948
Maharashtra,Buldana,2025-05,0,316,4836,5152
Maharashtra,Buldana,2025-06,0,142,3863,4005
Maharashtra,Buldana,2025-07,0,169,4736,4905
Maharashtra,Buldana,2025-08,0,143,3060,3203
Maharashtra,Buldana,2025-09,0,1063,3968,5031
Maharashtra,Buldana,2025-10,0,314,8058,8372
Maharashtra,Buldana,2025-11,0,462,7873,8335
Maharashtra,Buldana,2025-12,0,216,3204,3420
Maharashtra,Buldana,2026-01,0,31,498,529
Maharashtra,Buldhana,2025-03,0,6126,12248,18374
Maharashtra,Buldhana,2025-04,0,2801,7479,10280
Maharashtra,Buldhana,2025-05,0,8165,16903,25068
Maharashtra,Buldhana,2025-06,0,6764,14398,21162
Maharashtra,Buldhana,2025-07,0,9558,16270,25828
Maharashtra,Buldhana,2025-08,0,6166,9397,15563
Maharashtra,Buldhana,2025-09,0,29153,15772,44925
Maharashtra,Buldhana,2025-10,0,8212,24375,32587
Maharashtra,Buldhana,2025-11,0,11780,30724,42504
Maharashtra,Buldhana,2025-12,0,6893,10553,17446
Maharashtra,Buldhana,2026-01,0,1000,1443,2443
Maharashtra,Chandrapur,2025-03,0,8145,18025,26170
Maharashtra,Chandrapur,2025-04,0,4268,10693,14961
Maharashtra,Chandrapur,2025-05,0,7508,23106,30614
